ORDER,Title,categoria,prakarana_label,nom_s,nom_d,nom_p,voc_s,voc_d,voc_p,acc_s,acc_d,acc_p,ins_s,ins_d,ins_p,dat_s,dat_d,dat_p,abl_s,abl_d,abl_p,gen_s,gen_d,gen_p,loc_s,loc_d,loc_p,COMENTÁRIO
13,२५. अकारान्तः नपुंसकलिङ्गः ‘वारि’ शब्दः (Água),सुबन्तम्,अजन्त नपुंसकलिङ्ग प्रकरणम्,वारि,वारिणी,वारीणि,हे वारे/वारि,हे वारिणी,हे वारीणि,वारि,वारिणी,वारीणि,वारिणा,वारिभ्याम्,वारिभिः,वारिणे,वारिभ्याम्,वारिभ्यः,वारिणः,वारिभ्याम्,वारिभ्यः,वारिणः,वारिणोः,वारीणाम्,वारिणि,वारिणोः,वारिषु,
14,२८. उकारान्तः नपुंसकलिङ्गः ‘मधु’ शब्दः (Mel),सुबन्तम्,अजन्त नपुंसकलिङ्ग प्रकरणम्,मधु,मधुनी,मधूनि,हे मधो/मधु,हे मधुनी,हे मधूनि,मधु,मधुनी,मधूनि,मधुना,मधुभ्याम्,मधुभिः,मधुने,मधुभ्याम्,मधुभ्यः,मधुनः,मधुभ्याम्,मधुभ्यः,मधुनः,मधुनोः,मधूनाम्,मधुनि,मधुनोः,मधुषु,"एवम् अम्बु, अश्रु, वस्तु, दारु प्रभृतयः॥"
15,३०. ऋकारान्तः नपुंसकलिङ्गः ‘दातृ’ शब्दः (Aquilo que dá),सुबन्तम्,अजन्त नपुंसकलिङ्ग प्रकरणम्,दातृ,दातृणी,दातॄणी,हे दातः / हे दातृ,हे दातृणी,हे दातॄणी,दातृ,दातृणी,दातॄणी,दातृणा / दात्रा,दातृभ्याम्,दातृभिः,दातृणे / दात्रे,दातृभ्याम्,दातृभ्यः,दातृणः / दातुः,दातृभ्याम्,दातृभ्यः,दातृणः / दातुः,दातृणोः / दात्रोः,दातॄणाम्,दातृणि / दातरि,दातृणोः / दात्रोः,दातृषु,"एवं कर्तृ, गन्तृ, वक्तृ प्रभृतयः॥"
16,३४. तकारान्तः पुंलिङ्गः ‘मरुत्’ शब्दः (Vento),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,मरुत्,मरुतौ,मरुतः,हे मरुत्,हे मरुतौ,हे मरुतः,मरुतम्,मरुतौ,मरुतः,मरुता,मरुद्भ्याम्,मरुद्भिः,मरुते,मरुद्भ्याम्,मरुद्भ्यः,मरुतः,मरुद्भ्याम्,मरुद्भ्यः,मरुतः,मरुतोः,मरुताम्,मरुति,मरुतोः,मरुत्सु,"एवं भूभृत्, इन्द्रजित्, विश्वजित्, सोमसुत् प्रभृतयः।
ददत्, दधत्, बिभ्यत्, प्रभृतयः।
जक्षत्, जाग्रत्, शासत्, चकासत्, दरिद्रत् प्रभृतयश्च एवमेव॥"
17,३६. तकारान्तः पुंलिङ्गः ‘भगवत्’ शब्दः (Deus),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,भगवान्,भगवन्तौ,भगवन्तः,हे भगवन्,हे भगवन्तौ,हे भगवन्तः,भगवन्तम्,भगवन्तौ,भगवतः,भगवता,भगवद्भ्याम्,भगवद्भिः,भगवते,भगवद्भ्याम्,भगवद्भ्यः,भगवतः,भगवद्भ्याम्,भगवद्भ्यः,भगवतः,भगवतोः,भगवताम्,भगवति,भगवतोः,भगवत्सु,"एवं धीमत्, बुद्धिमत्, धनवत्, कृतवत्, यावत्, तावत्, कियत्, इयत् प्रभृतयः। मघवत् शब्दोऽप्येवमेव॥"
18,३९. नकारान्तः पुंलिङ्गः ‘राजन्’ शब्दः (Rei),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,राजा,राजानौ,राजानः,हे राजन्,हे राजानौ,हे राजानः,राजानम्,राजानौ,राज्ञः,राज्ञा,राजभ्याम्,राजभिः,राज्ञे,राजभ्याम्,राजभ्यः,राज्ञः,राजभ्याम्,राजभ्यः,राज्ञः,राज्ञोः,राज्ञाम्,राज्ञि / राजनि,राज्ञोः,राजसु,"एवं मूर्धन्, तक्षन्, सुनामन्, महिमन्, पीवन्, अणिमन्, गरिमन्, लघिमन् प्रभृतयः॥"
19,४०. नकारान्तः पुंलिङ्गः ‘आत्मन्’ शब्दः (Ser),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,आत्मा,आत्मानौ,आत्मानः,हे आत्मन्,हे आत्मानौ,हे आत्मानः,आत्मानम्,आत्मानौ,आत्मनः,आत्मना,आत्मभ्याम्,आत्मभिः,आत्मने,आत्मभ्याम्,आत्मभ्यः,आत्मनः,आत्मभ्याम्,आत्मभ्यः,आत्मनः,आत्मनोः,आत्मनाम्,आत्मनि,आत्मनोः,आत्मसु,"एवं ब्रह्मन्, यज्वन्, सुपर्वन्, अध्वन् प्रभृतयः॥"
20,४५. नकारान्तः पुंलिङ्गः ‘करिन्’ शब्दः (Elefante),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,करी,करिणौ,करिणः,हे करिन्,हे करिणौ,हे करिणः,करिणम्,करिणौ,करिणः,करिणा,करिभ्याम्,करिभिः,करिणे,करिभ्याम्,करिभ्यः,करिणः,करिभ्याम्,करिभ्यः,करिणः,करिणोः,करिणाम्,करिणि,करिणोः,करिषु,"एवं गुणिन्, धनिन्, शशिन् प्रभृतयः॥"
20,नकारान्तः पुंलिङ्गः ‘राजन्’ शब्दः (Rei),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,राजा,राजानौ,राजानः,हे राजन्,हे राजानौ,हे राजानः,राजानम्,राजानौ,राज्ञः,राज्ञा,राजभ्याम्,राजभिः,राज्ञे,राजभ्याम्,राजभ्यः,राज्ञः,राजभ्याम्,राजभ्यः,राज्ञः,राज्ञोः,राज्ञाम्,राज्ञि/राजनि,राज्ञोः,राजसु,
21,४९. सकारान्तः पुंलिङ्गः ‘वेधस्’ शब्दः (ब्रह्मा),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,वेधाः,वेधसौ,वेधसः,हे वेधः,हे वेधसौ,हे वेधसः,वेधसम्,वेधसौ,वेधसः,वेधसा,वेधोभ्याम्,वेधोभिः,वेधसे,वेधोभ्याम्,वेधोभ्यः,वेधसः,वेधोभ्याम्,वेधोभ्यः,वेधसः,वेधसोः,वेधसाम्,वेधसि,वेधसोः,वेधःसु,"एवं चन्द्रमस्, सुमनस्, परोघस् प्रभृतयः॥"
22,७३. तकारान्तः नपुंसकलिङ्गः ‘जगत्’ शब्दः (Mundo),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,जगत्,जगती,जगन्ति,हे जगत्,हे जगती,हे जगन्ति,जगत्,जगती,जगन्ति,जगता,जगद्भ्याम्,जगद्भिः,जगते,जगद्भ्याम्,जगद्भ्यः,जगतः,जगद्भ्याम्,जगद्भ्यः,जगतः,जगतोः,जगताम्,जगति,जगतोः,जगत्सु,"शेषं ‘मरुत्’ शब्दवत्
एवं भास्वत्, गतवत्, सुन्वत्, तन्वत्, रुन्घत्, क्रीणत्, अदत्, बृहत्, पृषत् प्रभृतयः॥"
23,७९. नकारान्तः नपुंसकलिङ्गः ‘नामन्’ शब्दः (Nome),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,नाम,नाम्नी/नामनी,नामानि,हे नामन्/नाम,हे नाम्नी/नामनी,हे नामानि,नाम,नाम्नी/नामनी,नामानि,नाम्ना,नामभ्याम्,नामभिः,नाम्ने,नामभ्याम्,नामभ्यः,नाम्नः,नामभ्याम्,नामभ्यः,नाम्नः,नाम्नोः,नाम्नाम्,नाम्नि/नामनि,नाम्नोः,नामसु,"एवं धामन्, व्यामन्, हेमन् प्रभृतयः॥"
24,८०. नकारान्तः नपुंसकलिङ्गः ‘कर्मन्’ शब्दः (Ação),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,कर्म,कर्मणी,कर्माणि,हे कर्मन्/कर्म,हे कर्मणी,हे कर्माणि,कर्म,कर्मणी,कर्माणि,कर्मणा,कर्मभ्याम्,कर्मभिः,कर्मणे,कर्मभ्याम्,कर्मभ्यः,कर्मणः,कर्मभ्याम्,कर्मभ्यः,कर्मणः,कर्मणोः,कर्मणाम्,कर्मणि,कर्मणोः,कर्मसु,"एवं शर्मन्, वर्मन्, वेश्मन्, सद्मन् प्रभृतयः॥"
25,८६. सकारान्तः नपुंसकलिङ्गः ‘मनस्’ शब्दः (Mente),सुबन्तम्,हलन्त-पुंलिङ्ग-प्रकरणम्,मनः,मनसी,मनांसि,हे मनः,हे मनसी,हे मनांसि,मनः,मनसी,मनांसि,मनसा,मनोभ्याम्,मनोभिः,मनसे,मनोभ्याम्,मनोभ्यः,मनसः,मनोभ्याम्,मनोभ्यः,मनसः,मनसोः,मनसाम्,मनसि,मनसोः,मनस्सु,"शेषं ‘वेधस्’ शब्दवत्।  एवं तपस्, यशस्, रत्नमुष् प्रभृतयः। गरीयस्, श्रेयस् प्रभृतयः। ईयसन्ता अपि क्लीबे एवमेव॥"
